,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2057-12-31,294.1120910644531,296.6439514160156,295.82464599609375,294.52862548828125,296.8382,296.3009338378906,296.82114,295.50823974609375,296.1525573730469,296.86786,296.997314453125,295.322,297.26532,295.8692932128906,296.43927,296.35187,297.92105,296.44885,296.89627,296.19025,296.5745523974882
2058-12-31,294.1728820800781,297.111572265625,297.2451477050781,295.4973449707031,296.6022,295.4284973144531,297.47946,295.4127502441406,294.90863037109375,296.81927,296.4241943359375,296.01483,296.29016,296.6402282714844,295.86404,295.54175,296.6472,295.68695,295.4472,296.64404,298.0170840471151
2059-12-31,294.873291015625,296.8680114746094,296.97613525390625,295.0911560058594,295.9342,296.4168701171875,296.83844,296.8631896972656,295.0058288574219,295.28204,295.3893127441406,296.09366,297.098,295.88433837890625,297.03342,295.94943,296.29498,296.77362,296.28864,296.8384,297.9311666648481
2060-12-31,295.437082619863,296.88194521551264,296.69696362639127,295.55875561857874,295.71664,294.97909754922944,296.3426,298.58055319590113,295.6079242026969,296.41013,295.91830954355737,295.3807,296.17862,297.2108260481325,296.52844,296.0606,296.4558,297.2849,296.42642,295.07043,296.71518224859636
2061-12-31,294.11309814453125,295.3106994628906,296.2127380371094,296.6705017089844,295.97552,295.38427734375,294.33054,296.7519836425781,295.36651611328125,295.76788,294.93194580078125,295.99963,297.07565,297.0960388183594,296.9123,296.24094,297.3475,297.06857,296.309,296.30533,297.8768318218892
2062-12-31,295.70782470703125,294.3794860839844,297.22625732421875,296.4510192871094,296.5199,296.18218994140625,296.62897,296.64617919921875,296.4762268066406,296.23434,294.45458984375,294.94296,296.2213,297.5013427734375,297.02454,297.2954,297.24805,295.734,295.69757,295.76755,298.09126801730537
2063-12-31,295.5860290527344,295.2466125488281,296.7386474609375,296.30084228515625,296.28128,297.42230224609375,296.506,295.5723571777344,294.77813720703125,295.99368,297.0576171875,294.98935,295.66266,297.3353576660156,297.1962,296.26746,297.39102,296.68997,296.62088,297.07425,297.104826346456
2064-12-31,294.7850131936269,296.9084005277451,296.48987577255457,295.71365147420806,297.13376,295.557020631555,297.08667,295.6583131555009,294.6639752113656,295.66397,297.6122210776969,294.9769,296.51758,296.9050772052922,296.22278,296.4538,296.76904,297.38177,295.31253,296.51804,298.55746799989663
2065-12-31,296.15966796875,296.552734375,296.75225830078125,295.5929870605469,296.5839,295.9443664550781,296.52124,295.403076171875,297.523681640625,296.5603,295.2014465332031,294.12686,296.46277,298.0008239746094,298.25687,295.92657,298.58234,296.4859,296.95374,297.21222,296.8522197361099
2066-12-31,295.6884460449219,295.03302001953125,297.0494384765625,295.5882568359375,296.9024,296.48297119140625,296.3547,297.06500244140625,294.89422607421875,295.47897,295.777099609375,294.60654,297.35873,297.9353942871094,295.2976,296.25656,297.14545,295.92838,295.75458,295.89813,297.24670793757093
2067-12-31,294.9351806640625,295.74920654296875,296.6461486816406,296.7043762207031,296.52536,295.0035095214844,296.15182,296.244873046875,294.0958251953125,296.32892,297.14324951171875,295.6633,296.69485,296.9156799316406,296.43494,295.689,296.29272,297.11655,296.29657,294.39014,297.7095152785658
2068-12-31,295.09085985993687,295.3858885882652,297.017448613415,295.81085021136556,296.04474,295.2526771022849,295.4946,296.38965270159997,295.28922896711794,294.80157,296.3081409193065,295.21155,297.1085,296.94903188209014,297.8477,296.77432,296.33768,295.49823,296.20886,296.15295,298.7665293063958
2069-12-31,293.54296875,296.0579528808594,296.8155212402344,296.24652099609375,297.23758,296.35882568359375,296.52777,295.7787170410156,294.7988586425781,294.91904,297.7549743652344,295.54565,296.30673,296.9762878417969,296.28375,296.44382,296.8521,296.25726,296.0056,296.84027,296.01852860264273
2070-12-31,293.8371276855469,295.4735412597656,297.4604187011719,296.11572265625,295.7791,296.7776184082031,296.78885,297.14495849609375,295.5096740722656,296.0599,296.26092529296875,295.06262,296.43344,297.5566711425781,297.1561,297.67935,296.92813,296.3483,296.2988,296.55063,297.6214529708777
2071-12-31,294.9664306640625,296.341796875,296.9618225097656,297.10308837890625,295.85706,296.6627502441406,296.4287,295.837158203125,296.7277526855469,294.71426,295.9996337890625,295.33218,296.145,296.2849426269531,296.98825,296.73953,297.5771,296.00958,295.99942,296.06287,297.93678658767783
2072-12-31,296.2201332405822,295.9883082559664,296.2838403989191,296.2118379775792,295.7328,296.08151955800514,296.75027,296.44439789236407,296.20406418891804,294.39755,296.0801993592145,294.59048,295.26627,297.13981574071596,297.28336,297.66724,297.8393,296.7032,295.28708,297.41144,297.63889161856395
2073-12-31,295.2865905761719,295.09600830078125,296.7049865722656,296.75811767578125,296.77097,295.84649658203125,296.88593,297.5103759765625,294.76312255859375,293.58252,295.293701171875,296.5052,296.49564,296.6242370605469,297.10568,296.10867,296.4457,296.772,297.48315,298.02936,296.2826732443698
2074-12-31,294.94970703125,297.0876159667969,296.26165771484375,296.0460205078125,296.216,295.325927734375,296.54013,296.59027099609375,295.65081787109375,296.03677,295.87957763671875,294.26367,296.35422,296.7648620605469,295.93832,295.52676,297.82333,297.1827,295.1589,295.5366,298.3607901461298
2075-12-31,296.072509765625,296.9436950683594,295.58258056640625,297.3668518066406,295.4616,296.4949645996094,295.31985,296.0525817871094,295.2627258300781,295.42908,295.8685302734375,294.1939,296.29724,297.4461669921875,296.6476,296.42572,296.9741,296.516,295.782,296.35025,297.9639234489569
2076-12-31,295.40158557630565,296.18769606498824,297.49901850452164,296.4614772012789,296.69485,297.3131636946169,296.75058,295.70058969994113,295.4230633461312,296.56436,295.7921763798962,295.55682,296.8513,296.8024466736676,296.30093,296.30838,298.43704,296.89563,295.54184,297.39948,296.5836070281217
2077-12-31,295.4495849609375,294.9801940917969,296.33819580078125,295.34967041015625,296.5988,296.5596008300781,297.01376,295.65911865234375,295.4615783691406,296.31943,296.0711669921875,295.15256,296.38022,297.2403869628906,296.33945,298.2719,297.20502,295.6527,296.9401,295.66473,298.31915129762785
2078-12-31,294.748779296875,296.02935791015625,295.272705078125,296.6196594238281,296.00223,296.0068664550781,295.88077,296.6612548828125,294.397216796875,294.95963,295.9823303222656,296.29962,296.39127,297.5963134765625,297.71216,295.71973,296.6819,297.49545,297.20697,296.48068,297.490144356669
2079-12-31,295.16375732421875,295.4584045410156,296.50787353515625,296.1723327636719,296.14108,296.5057373046875,296.6074,298.6026611328125,297.42218017578125,296.25925,296.7792663574219,295.52548,296.28442,297.4621887207031,295.892,297.09747,297.63565,297.065,295.8251,296.8991,297.9538691003895
2080-12-31,295.5662619394799,296.07440377849423,295.8930092171447,296.7542762233786,297.11957,296.4877744073737,295.96207,295.92116924965217,294.76986903360444,295.9761,296.5243600505672,295.94067,295.76434,296.7850579248716,296.30023,297.46405,298.62012,296.6126,296.25897,297.51132,295.3781579317821
2081-12-31,295.69195556640625,296.4989013671875,297.0101318359375,296.3210144042969,296.29355,295.14617919921875,297.09946,296.3455810546875,296.0527038574219,295.64938,295.9365539550781,294.98145,296.34415,297.7626647949219,296.10132,296.3081,297.45184,297.4463,295.76114,295.85056,298.5602594301021
2082-12-31,295.4073181152344,295.0955810546875,297.4708557128906,296.36041259765625,296.18686,296.1796569824219,295.65622,297.41754150390625,295.7643737792969,296.2698,296.1620788574219,296.03192,295.58218,296.1724853515625,297.1534,295.6864,295.96176,296.96304,297.695,295.52768,298.42382002676
2083-12-31,295.06439208984375,295.444091796875,296.2832336425781,295.927490234375,294.60123,295.3734130859375,296.17337,296.4484558105469,295.2978210449219,296.19165,296.586669921875,296.12115,296.7541,297.5816650390625,296.0765,295.50827,296.9617,297.47238,296.58652,296.6281,298.81313831180165
2084-12-31,294.76983358304796,295.4457117368097,296.67712201680223,296.12794139287246,296.76828,297.0831642464416,296.39285,295.7860250394638,295.35468047677654,294.371,295.8027368832941,295.5118,296.70813,297.95193782440606,298.04556,295.72537,296.22073,296.368,297.30698,295.56326,297.7868565636425
2085-12-31,295.117919921875,295.293701171875,296.3265075683594,296.0869445800781,295.58322,296.3921203613281,296.5782,296.35223388671875,295.4649963378906,294.3936,296.0106201171875,294.93033,297.20557,297.4963073730469,296.6786,295.0409,297.66058,296.55597,297.26355,296.4953,298.24397346027735
2086-12-31,294.527099609375,295.85882568359375,296.0069274902344,297.0323181152344,296.30264,294.92205810546875,294.87198,295.9770812988281,295.7171325683594,296.1464,296.21929931640625,295.1882,295.73996,296.5635986328125,296.6178,297.3179,296.44736,296.92944,295.51523,297.1071,298.1497021893549
2087-12-31,295.9361267089844,296.0152282714844,295.5686950683594,296.59637451171875,297.20413,296.1053161621094,296.4122,296.35400390625,294.8695373535156,296.39108,295.9657287597656,295.03467,295.3957,297.2221984863281,297.62128,295.73923,296.2236,295.92944,296.03494,296.05176,297.0767107915612
2088-12-31,294.67580098191354,297.14809996722494,296.6863741940015,295.79051229398544,295.58038,296.4781684770976,297.2456,297.1563981565711,294.4044523892337,296.64835,295.8640870812821,293.91333,296.1132,297.9639247110445,297.1957,296.383,297.49356,296.06204,294.94257,295.17255,297.8337100568256
2089-12-31,295.9259338378906,295.82586669921875,296.6358642578125,296.2965393066406,296.8016,296.34259033203125,297.36536,295.3166198730469,295.3562316894531,296.80234,295.6863708496094,296.0647,295.44653,298.8890380859375,296.41998,295.53622,297.7257,296.75385,296.8915,295.77734,298.3376966082184
2090-12-31,294.66748046875,296.00714111328125,296.3553771972656,296.6724853515625,295.4318,295.81842041015625,296.18307,295.8590393066406,296.0439758300781,294.03867,295.5947265625,294.3458,296.47205,296.0164489746094,296.659,294.495,297.72012,297.60184,295.68018,296.47507,297.7990286203736
2091-12-31,295.7939758300781,295.027099609375,295.43035888671875,296.5542297363281,295.66415,295.6929931640625,297.27536,296.2292175292969,295.2619323730469,295.44427,295.453369140625,296.05136,296.6134,297.6261901855469,296.08112,296.12888,296.07968,296.98828,295.21243,296.25598,295.61813022038126
2092-12-31,294.64024181627246,296.0905465740047,296.1525126418022,297.0479391855736,296.56857,296.3950224575931,296.9556,296.8015024681614,294.2098319275738,295.372,295.17806739284566,295.879,296.28992,296.80140380859376,297.29434,297.28906,297.77042,297.69257,295.7748,296.56277,297.88722505277246
2093-12-31,295.81890869140625,296.4354248046875,296.21771240234375,296.5433349609375,296.3308,296.690185546875,295.97314,297.9878845214844,294.95208740234375,296.87277,296.4864196777344,295.26678,295.4312,297.93682861328125,297.8534,297.30258,296.31174,295.33038,295.88773,295.77484,298.1618918307001
2094-12-31,294.2402038574219,295.7965393066406,296.7065124511719,296.39874267578125,297.29803,295.4587707519531,295.5867,296.6656188964844,295.6453552246094,295.53662,295.4140319824219,295.57977,295.535,296.79876708984375,296.11896,296.2314,296.55536,295.8866,297.73032,295.31796,297.21205752921503
2095-12-31,294.2144775390625,295.2164306640625,296.3365173339844,295.7759094238281,296.96893,295.83258056640625,295.29764,296.2434997558594,295.22796630859375,295.43637,296.63787841796875,295.9323,294.41525,296.593505859375,296.268,295.57355,298.30637,295.3888,297.37827,295.99188,296.70452966104006
2096-12-31,295.8735111602365,295.57298023798694,295.7554332158337,295.414958797089,296.3251,296.57678348070954,295.84653,296.121863963506,294.2698115100599,295.1852,296.30986570593427,294.706,295.35693,297.24263431078765,296.4073,294.86453,297.03696,297.16885,296.75436,296.8422,296.2730290404933
2097-12-31,294.7838134765625,295.6148986816406,296.0763854980469,296.59185791015625,296.7855,295.3927307128906,295.32007,296.3272399902344,295.2809143066406,296.38885,296.8520202636719,295.96542,296.5779,297.6360168457031,297.73383,296.46942,298.04004,297.3951,295.58252,296.4505,297.3366394895415
2098-12-31,294.53765869140625,295.1551513671875,296.1325988769531,295.4714050292969,295.95007,295.14447021484375,296.44296,295.7822265625,295.501220703125,295.50485,295.8360900878906,295.3735,296.42236,297.6426086425781,295.6213,296.5393,298.04178,295.91388,296.5072,295.61136,297.42591559553944
2099-12-31,294.87786865234375,297.02606201171875,295.9238586425781,297.03643798828125,296.6515,294.8125305175781,295.09637,295.9105224609375,295.6659851074219,295.44742,296.593505859375,295.68362,296.7366,297.9176025390625,295.96262,295.20566,297.42923,294.7841,296.0194,297.46335,296.4574521027464
2100-12-31,295.597900390625,295.7501525878906,296.5785217285156,295.8607482910156,296.6931,296.1619873046875,296.2088,295.9153137207031,295.2032775878906,294.47464,295.67071533203125,297.1789,296.44266,296.7637634277344,297.40735,295.42737,297.32303,295.5577,295.5851,297.28317,298.2659197759362
